GT	Prediction	PostProcessedPrediction	Probability	WRR_Correct	Post_WRR_Correct
దగ్గరికి	దగ్గరికి	దగ్గరికి	0.999564	1	1
వెలిగి	వెలిగి	వెలిగి	0.997651	1	1
అని	అని	అని	0.999366	1	1
అంటే	అంటే	అంటే	0.924263	1	1
ఫిర్యాదు	ఫీర్యాదు	ఫీర్యాదు	0.988328	0	0
చూస్తే	చూస్తే	చూస్తే	0.998677	1	1
సుజా	నుజా	నిజా	0.814337	0	0
మాత్రం	మాత్రం	మాత్రం	0.969175	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999357	1	1
తన	తన	తన	0.999118	1	1
ఉంది	ఉంది	ఉంది	0.999654	1	1
తరువాత	తరువాత	తరువాత	0.998186	1	1
తలంపుతో	తలంపుతో	తలంపుతో	0.998676	1	1
ఆకారాలు	ఆకారాలు	ఆకారాలు	0.974642	1	1
మన	మన	మన	0.998645	1	1
నువ్వు	నువ్వు	నువ్వు	0.999399	1	1
శుభ్రంగా	శుభ్రంగా	శుభ్రంగా	0.977497	1	1
మళ్ళా	మళ్ళా	మళ్ళా	0.998949	1	1
అన్నా	అన్నా	అన్నా	0.999875	1	1
ధనమునకు	ధనమునకు	ధనమునకు	0.998168	1	1
యింగ్లీషు	యింగ్లీషు	యింగ్లీషు	0.904818	1	1
నువ్వు	నువ్వు	నువ్వు	0.999334	1	1
మాట్లాడుతున్నారు	మాట్లాడుతున్నారు	మాట్లాడుతున్నారు	0.997684	1	1
మధ్యన	మధ్యన	మధ్యన	0.998756	1	1
అధ్యాయం	అధ్యాయం	అధ్యాయం	0.998976	1	1
చుట్టల	చుట్టల	చుట్టల	0.993087	1	1
మళ్ళీ	మళ్ళీ	మళ్ళీ	0.996659	1	1
అన్నట్లుగా	అన్నట్లుగా	అన్నట్లుగా	0.975197	1	1
నిద్రలోని	నిద్రలోని	నిద్రలోని	0.954256	1	1
కాలము	కాలము	కాలము	0.962618	1	1
నువ్వు	నువ్వు	నువ్వు	0.999483	1	1
బూది	బూది	బూది	0.981185	1	1
దర్శన	దర్శన	దర్శన	0.991558	1	1
చాల	చాల	చాల	0.987198	1	1
అట్లా	అట్లా	అట్లా	0.998179	1	1
నృత్యం	నృత్యం	నృత్యం	0.922533	1	1
వాడికి	వాడికి	వాడికి	0.993781	1	1
నే	నే	నే	0.995657	1	1
గారిని	గారిని	గారిని	0.999644	1	1
వారితో	వారితో	వారితో	0.969041	1	1
తయారు	తయారు	తయారు	0.999656	1	1
యిక్కడ	యిక్కడ	యిక్కడ	0.999892	1	1
తన	తిన	తిన	0.910598	0	0
వస్తువు	వస్తువు	వస్తువు	0.999621	1	1
లతని	లతని	లతని	0.992438	1	1
కట్టుకుంటే	కట్టుకుంటే	కట్టుకుంటే	0.989153	1	1
వలదని	వలదని	వలదని	0.999430	1	1
శ్రీ	శ్ర్రీ	శ్ర్రీ	0.827647	0	0
వారికి	వారికి	వారికి	0.999228	1	1
అన్న	అన్న	అన్న	0.997895	1	1
అప్పటి	అప్పటి	అప్పటి	0.999257	1	1
అది	అది	అది	0.999637	1	1
వా	వా	వా	0.997114	1	1
లేదు	లేదు	లేదు	0.995965	1	1
సుబేదారుగ	సుబేదారుగ	సుబేదారుగ	0.997457	1	1
మా	మా	మా	0.937177	1	1
వ్రేళ్ళ	వ్రేళ్ళ	వ్రేళ్ళ	0.937266	1	1
వున్నాం	వున్నాం	వున్నాం	0.999114	1	1
తలపాగలు	తలపాగలు	తలపాగలు	0.999479	1	1
నాకు	నాకు	నాకు	0.959175	1	1
ఐదుగురు	ఐదుగురు	ఐదుగురు	0.947818	1	1
విష్ణుచిత్తుడు	విష్ణుచిత్తుడు	విష్ణుచిత్తుడు	0.996412	1	1
చెప్పినట్లు	చెప్పినట్లు	చెప్పినట్లు	0.980438	1	1
వానిపై	వానిపై	వానిపై	0.999113	1	1
విద్యారణ్య	విద్యారణ్య	విద్యారణ్య	0.976468	1	1
లగు	లగు	లగు	0.997521	1	1
పోనీయ్	పోనీయ్	పోనీయ్	0.999428	1	1
లేకపోతే	లేకపోతే	లేకపోతే	0.999620	1	1
చేయగా	చేయగా	చేయగా	0.996004	1	1
గజ్జెలు	గజ్జెలు	గజ్జెలు	0.998141	1	1
మనస్సునకు	మనస్సునకు	మనస్సునకు	0.956259	1	1
శరీరంలో	శరీరంలో	శరీరంలో	0.918829	1	1
గుస	గన	గన	0.988142	0	0
అని	అని	అని	0.999173	1	1
మన	మన	మన	0.999520	1	1
అయితే	అయితే	అయితే	0.999687	1	1
అలాగే	అలాగే	అలాగే	0.999319	1	1
ఒంటినిండా	ఒంటినిండా	ఒంటినిండా	0.977131	1	1
పింగళి	పింగళి	పింగళి	0.987773	1	1
మాత్రము	మాత్రము	మాత్రము	0.985357	1	1
విజయము	విజయము	విజయము	0.998054	1	1
అయినాసరే	అయినాసరే	అయినాసరే	0.999836	1	1
ఒక్కొక్క	ఒక్కొక్క	ఒక్కొక్క	0.995057	1	1
లేనటువంటి	లేనటువంటి	లేనటువంటి	0.949577	1	1
తన	తన	తన	0.998928	1	1
రము	రము	రము	0.998428	1	1
హిమాలయాల్లో	హిమాలయాల్లో	హిమాలయాల్లో	0.999606	1	1
తిరుగ	తిరుగ	తిరుగ	0.998312	1	1
విశ్వవిద్యాలయములో	విశ్వవిద్యాలయములో	విశ్వవిద్యాలయములో	0.967907	1	1
ఇంకా	ఇంకా	ఇంకా	0.907479	1	1
ఎంత	ఎంత	ఎంత	0.999827	1	1
లక్షల	లక్షల	లక్షల	0.984017	1	1
నీ	నీ	నీ	0.956200	1	1
వైదిక	వైదిక	వైదిక	0.999265	1	1
అంటుంటే	అంటుంటే	అంటుంటే	0.997559	1	1
మహత్యం	మహత్యం	మహత్యం	0.999913	1	1
ఉత్తమోత్తమమైన	ఉత్తమోత్తమమైన	ఉత్తమోత్తమమైన	0.999614	1	1
ఉంటుందో	ఉంటుందో	ఉంటుందో	0.980165	1	1
దగ్గరగా	దగ్గరగా	దగ్గరగా	0.993885	1	1
యోగ	యోగ	యోగ	0.999937	1	1
మంచి	మంచి	మంచి	0.999679	1	1
వచ్చి	వచ్చి	వచ్చి	0.999147	1	1
వెనుకటి	వెనుకటి	వెనుకటి	0.994655	1	1
పైన	పైన	పైన	0.998993	1	1
చాలా	చాలా	చాలా	0.993445	1	1
బంగారు	బంగారు	బంగారు	0.966760	1	1
మాత్రమే	మాత్రమే	మాత్రమే	0.949871	1	1
నున్న	నున్న	నున్న	0.999703	1	1
గలి	గలి	గలి	0.998889	1	1
కొండె	కొండె	కొండె	0.996585	1	1
తర్వాత	తర్వాత	తర్వాత	0.997116	1	1
ప్రసంగవశమున	ప్రనంగవశమున	ప్రనంగవశమున	0.963565	0	0
బాలుని	బాలుని	బాలుని	0.990820	1	1
వేదాంత	వేదాంత	వేదాంత	0.975245	1	1
కాకపోయినను	కాకపోంునను	కాకపోంునను	0.959555	0	0
వాని	వాని	వాని	0.999223	1	1
అనే	అనే	అనే	0.999264	1	1
చీలమండలు	చీలమండలు	చీలమండలు	0.991469	1	1
ఫ్రెంచివారు	ఫెంచివారు	ఫెంచివారు	0.959388	0	0
శరీరంగా	శరీరంగా	శరీరంగా	0.999843	1	1
ఆపిల్	ఆపిల్	ఆపిల్	0.998160	1	1
వాడు	వాడు	వాడు	0.989463	1	1
మహర్షి	మహర్షి	మహర్షి	0.986629	1	1
కొంచెం	కొంచెం	కొంచెం	0.999789	1	1
దంపతుల	దంపతుల	దంపతుల	0.969785	1	1
ఒకకప్పు	ఒకకప్పు	ఒకకప్పు	0.995066	1	1
గారి	గారి	గారి	0.999175	1	1
దారి	దారి	దారి	0.999521	1	1
శబ్దములు	శబ్దములు	శబ్దములు	0.955991	1	1
నెయ్యి	నెయ్యి	నెయ్యి	0.997971	1	1
నైనను	నైనను	నైనను	0.936857	1	1
వాళ్ళు	వాళ్ళు	వాళ్ళు	0.973748	1	1
సిలబస్	సిలబస్	సిలబస్	0.999122	1	1
దెబ్బ	దెబ్బ	దెబ్బ	0.999061	1	1
ఉంటాయి	ఉంటాయి	ఉంటాయి	0.956295	1	1
ఫ్యాక్టరీ	ఫ్యాక్షరీ	ఫ్యాక్షరీ	0.965181	0	0
గజ్జెలు	గజ్జెలు	గజ్జెలు	0.957831	1	1
పైకి	పైకి	పైకి	0.999186	1	1
నిశ్చేష్ట	నిశ్చేష్ట	నిశ్చేష్ట	0.999567	1	1
యవస్థ	యవస్థ	యవస్థ	0.999145	1	1
వయస్సు	వయస్సు	వయస్సు	0.997919	1	1
లత	లత	లత	0.998716	1	1
శాస్త్రిగారు	శాస్త్రిగారు	శాస్త్రిగారు	0.966675	1	1
ఒక	ఒక	ఒక	0.999236	1	1
కనుపాప	కనుపావ	కనుపావ	0.950975	0	0
జీవించినట్లు	జీవించినట్లు	జీవించినట్లు	0.986476	1	1
శాస్త్రిగా	శాస్త్రిగా	శాస్త్రిగా	0.908038	1	1
యింటికి	యింటికి	యింటికి	0.976943	1	1
వినియోగం	వినియోగం	వినియోగం	0.970169	1	1
మేమియు	మేమియు	మేమియు	0.981817	1	1
ఆంగ్ల	ఆంగ్ల	ఆంగ్ల	0.979925	1	1
వాడు	వాడు	వాడు	0.999697	1	1
మహానుభావుడు	మహానుభావుడు	మహానుభావుడు	0.999368	1	1
రాజ్యమున	రాజ్యమున	రాజ్యమున	0.946238	1	1
వలన	వలన	వలన	0.999256	1	1
గణపతితో	గణపతితో	గణపతితో	0.996912	1	1
డ్రిల్లు	డ్రిల్లు	డ్రిల్లు	0.976330	1	1
ఎట్లా	ఎట్లా	ఎట్లా	0.997538	1	1
పెట్టినట్లుగా	పెట్టినట్లుగా	పెట్టినట్లుగా	0.973883	1	1
వంట	వంట	వంట	0.999534	1	1
రెండవ	రెండవ	రెండవ	0.920815	1	1
సుబ్రహ్మణ్యేశ్వర	సుబ్రహ్మణ్యోశ్వర	సుబ్రహ్మణ్యోశ్వర	0.956028	0	0
శూన్యం	శూన్యం	శూన్యం	0.999446	1	1
తోలుకుంటూ	తోలుకుంటూ	తోలుకుంటూ	0.979825	1	1
లోపల	లోపల	లోపల	0.999767	1	1
హృదయులై	హృదయులై	హృదయులై	0.972972	1	1
వానిని	వానిని	వానిని	0.905893	1	1
నీకిక్కడ	నీకిక్కడ	నీకిక్కడ	0.999854	1	1
వారి	నావి	నావి	0.517502	0	0
జారీ	జరీ	జరీ	0.930437	0	0
వానిని	వానిని	వానిని	0.996634	1	1
యిట్టి	యిటి	యిది	0.826178	0	0
తల్లికి	తల్లికి	తల్లికి	0.966016	1	1
ఊరికే	ఊరికే	ఊరికే	0.998057	1	1
పాండురంగ	పాండురంగ	పాండురంగ	0.999358	1	1
జారి	జారి	జారి	0.992001	1	1
చిన్న	చిన్న	చిన్న	0.999839	1	1
వ్యాయామము	వ్యాయామము	వ్యాయామము	0.952653	1	1
నీ	నీ	నీ	0.999196	1	1
వానిని	వానిని	వానిని	0.950217	1	1
ఒక	ఒక	ఒక	0.997943	1	1
ఇంటికి	ఇంటికి	ఇంటికి	0.999486	1	1
రచనలలో	రచనలలో	రచనలలో	0.998656	1	1
గొనుచు	గొనుచు	గొనుచు	0.965279	1	1
మధ్యా	మధ్యా	మధ్యా	0.999836	1	1
పిమ్మట	పిమ్మట	పిమ్మట	0.995260	1	1
డైరెక్టర్లకు	డైరెక్టర్లకు	డైరెక్టర్లకు	0.990177	1	1
ఉన్న	ఉన్న	ఉన్న	0.974727	1	1
తన	తన	తన	0.999234	1	1
నేనే	నేనే	నేనే	0.991556	1	1
ప్రశాంతముగ	ప్రశాంతముగ	ప్రశాంతముగ	0.960190	1	1
హుకుం	హకుం	హకుం	0.973242	0	0
తులు	తులు	తులు	0.970390	1	1
విద్యాబుద్ధులు	విద్యాబుద్ధలు	విద్యాబుద్ధలు	0.983496	0	0
దేశమునకు	దేశమునకు	దేశమునకు	0.976402	1	1
నీ	నీ	నీ	0.998784	1	1
తెలియదు	తెలియదు	తెలియదు	0.988265	1	1
అక్షర	అక్షర	అక్షర	0.998979	1	1
గడియారాన్ని	గడియారాన్ని	గడియారాన్ని	0.989075	1	1
పరిపూర్ణంగా	పరిపూర్ణంగా	పరిపూర్ణంగా	0.960323	1	1
సంభాషణలు	సంభాషణలు	సంభాషణలు	0.997108	1	1
జాలిగా	జాలిగా	జాలిగా	0.998225	1	1
ఏది	ఏది	ఏది	0.998411	1	1
వెళ్ళేటప్పటికి	వెళ్ళేటప్పటికి	వెళ్ళేటప్పటికి	0.989537	1	1
మేనేజింగ్	మేనెజింగ్	మేనేజింగ్	0.947341	0	1
కాని	కాని	కాని	0.876079	1	1
దేహం	దేహం	దేహం	0.999794	1	1
వారిని	నారిని	నారిని	0.950123	0	0
హరిహరరాయలు	హరిహరరాయలు	హరిహరరాయలు	0.998093	1	1
యిక్కడి	యిక్కఢి	యిక్కఢి	0.963693	0	0
సమాధి	సమాధి	సమాధి	0.979230	1	1
తీసుకొని	తీసుకొని	తీసుకొని	0.999052	1	1
ఎక్కడనుంచి	ఎక్కడనుంచి	ఎక్కడనుంచి	0.998871	1	1
మాట్లాడుతూ	మాట్లాడుతూ	మాట్లాడుతూ	0.928909	1	1
నాలో	నాలో	నాలో	0.998800	1	1
వర్ణించడమే	వర్ణించడమే	వర్ణించడమే	0.998509	1	1
నలువది	నలువది	నలువది	0.992546	1	1
తల్లీ	తల్లీ	తల్లీ	0.999506	1	1
గ్రంథాలు	గ్రంథాలు	గ్రంథాలు	0.958684	1	1
అన్నే	అన్నే	అన్నే	0.924956	1	1
రాజులను	రాజులను	రాజులను	0.984968	1	1
కడుపు	కడుపు	కడుపు	0.964907	1	1
అనుభవానికి	అనుభవానికి	అనుభవానికి	0.999401	1	1
లేక	లేక	లేక	0.996983	1	1
వీటిలో	వీటిలో	వీటిలో	0.999199	1	1
ఇదిగో	ఇదిగో	ఇదిగో	0.999767	1	1
చూడము	చూడము	చూడము	0.999868	1	1
ఆకుపచ్చగా	ఆకుపచ్చగా	ఆకుపచ్చగా	0.996814	1	1
యిచ్చినా	యిచ్చినా	యిచ్చినా	0.943052	1	1
అయితే	అయితే	అయితే	0.999713	1	1
దారు	దారు	దారు	0.998873	1	1
మేము	మేము	మేము	0.999154	1	1
అవతల	అవతల	అవతల	0.999531	1	1
కలిగినటువంటి	కలిగినటువంటి	కలిగినటువంటి	0.969243	1	1
ప్రకారము	ప్కారము	ప్రకారము	0.941515	0	1
నెమ్మదిగా	నెమ్మదిగా	నెమ్మదిగా	0.997104	1	1
వాడు	వాడు	వాడు	0.980448	1	1
పెద్దవాడైన	పెద్దవాడైన	పెద్దవాడైన	0.973078	1	1
పాటించి	పాటిచి	పాటించి	0.940008	0	1
డగుటచే	డగుటచే	డగుటచే	0.967143	1	1
అన్నామలై	అన్నామలై	అన్నామలై	0.967839	1	1
మానవకోటికి	మానవకోటికి	మానవకోటికి	0.998710	1	1
అవతలికి	అవతలికి	అవతలికి	0.999369	1	1
మళ్లీ	మళ్లీ	మళ్లీ	0.999256	1	1
అయితే	అయితే	అయితే	0.999634	1	1
అనే	అనే	అనే	0.998584	1	1
మె	వెం	వెం	0.998375	0	0
కస్తూరీ	కస్తూరీ	కస్తూరీ	0.989945	1	1
నీ	నీ	నీ	0.999521	1	1
రంగులో	రంగులో	రంగులో	0.999845	1	1
కొంద	కొంద	కొంద	0.939446	1	1
చేస్తే	చేస్తే	చేస్తే	0.999196	1	1
ఇలాగ	ఇలాగ	ఇలాగ	0.902620	1	1
అని	అని	అని	0.999393	1	1
తిరుగుతున్న	తిరుగుతున్న	తిరుగుతున్న	0.999834	1	1
యింగ్లీషు	యిళ్లిషు	యిళ్లు	0.871043	0	0
అవి	అవి	అవి	0.901954	1	1
యేదో	యేదో	యేదో	0.999736	1	1
తండ్రి	తండ్రి	తండ్రి	0.969769	1	1
రెండుమార్లు	రెండుమార్లు	రెండుమార్లు	0.991800	1	1
పాలకులు	పాలకులు	పాలకులు	0.996618	1	1
వెన్నెముక	వెన్నెముక	వెన్నెముక	0.989729	1	1
అబ్బ	అబ్బ	అబ్బ	0.999896	1	1
పాదాలమీద	పాదాలమీద	పాదాలమీద	0.941775	1	1
రూపం	రూపం	రూపం	0.999686	1	1
అది	అది	అది	0.999388	1	1
రాసిన	రాసిన	రాసిన	0.993746	1	1
అప్పుడు	అప్పుడు	అప్పుడు	0.999056	1	1
మిగతా	మిగతా	మిగతా	0.948415	1	1
సిరిసంపదలతో	సిరిసఁపదలతో	సిరిసఁపదలతో	0.970812	0	0
దృష్టి	దృష్టి	దృష్టి	0.945317	1	1
నీలాల	నీలాల	నీలాల	0.984504	1	1
నువ్వు	నువ్వు	నువ్వు	0.999280	1	1
చీలమండలు	చీలమండలు	చీలమండలు	0.979744	1	1
వాళ్ళ	వాళ్ళ	వాళ్ళ	0.998120	1	1
నష్టము	నష్టము	నష్టము	0.967787	1	1
పద్ధతి	పద్ధతి	పద్ధతి	0.960717	1	1
ఎక్కడనుంచి	ఎక్కడనుంచి	ఎక్కడనుంచి	0.999543	1	1
సింపుల్గా	సింపుల్గా	సింపుల్గా	0.999796	1	1
పెక్కుమంది	వెక్కుమంది	వెక్కుమంది	0.950129	0	0
కూడ	కూడ	కూడ	0.930493	1	1
మొదలైన	మొదలైన	మొదలైన	0.999582	1	1
అందులో	అందులో	అందులో	0.999837	1	1
గడియారం	గడియారం	గడియారం	0.985487	1	1
స్వయముగా	స్వయముగా	స్వయముగా	0.998079	1	1
శిల్పం	శిల్పం	శిల్పం	0.975129	1	1
నిజముగ	నిజముగ	నిజముగ	0.985471	1	1
వర్ణించు	వర్ణించు	వర్ణించు	0.999900	1	1
కావలసినన్ని	కావలసినన్ని	కావలసినన్ని	0.972497	1	1
సంగ్రహాలను	సంగ్రహాలను	సంగ్రహాలను	0.988568	1	1
శంకర	భంకర	భంకర	0.968953	0	0
వెనుతిరిగి	వెనుతిరిగి	వెనుతిరిగి	0.944528	1	1
దీని	దీని	దీని	0.999495	1	1
నా	నా	నా	0.997689	1	1
దాన్ని	దాన్ని	దాన్ని	0.999694	1	1
మా	మా	మా	0.845879	1	1
కొంచెం	కొంచెం	కొంచెం	0.999743	1	1
యిష్టం	యిష్టం	యిష్టం	0.996750	1	1
కనుక	కనుక	కనుక	0.999150	1	1
వారిలో	వారిలో	వారిలో	0.999085	1	1
నుండి	నుండి	నుండి	0.999158	1	1
అన్నింటితో	అన్నింటితో	అన్నింటితో	0.977217	1	1
అరబ్బీ	అరబ్బీ	అరబ్బీ	0.999465	1	1
మాట్లాడాడు	మాట్లాడాడు	మాట్లాడాడు	0.997530	1	1
చిన్నరి	చిన్నరి	చిన్నరి	0.999407	1	1
పెట్టీ	పెట్టి	పెట్టి	0.981324	0	0
ఎవరి	ఎవరి	ఎవరి	0.999489	1	1
ఆకాశమనే	ఆకాశమనే	ఆకాశమనే	0.998923	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999266	1	1
దక్కనులో	దక్కనులో	దక్కనులో	0.966314	1	1
ఊహించటం	ఊహించటం	ఊహించటం	0.999612	1	1
అనంతం	అనంతం	అనంతం	0.997288	1	1
సంవత్సరములు	సంవత్సరములు	సంవత్సరములు	0.974964	1	1
తర్వాత	తర్వాత	తర్వాత	0.999924	1	1
భగవంతుడి	భగవంతుడి	భగవంతుడి	0.999160	1	1
యిందాక	యిందాక	యిందాక	0.999777	1	1
క్లిష్ట	కిష్ట	కిష్ట	0.988442	0	0
మొత్తం	మొత్తం	మొత్తం	0.999853	1	1
కూడ	కూడ	కూడ	0.999888	1	1
చరిత్రలో	చిత్రలో	చిత్రలో	0.954231	0	0
నిద్రలోని	నిదరలోని	నిదరలోని	0.978624	0	0
పోతోంది	పోతోంది	పోతోంది	0.999688	1	1
తట	తట	తట	0.998837	1	1
ప్రతి	ప్రతి	ప్రతి	0.938776	1	1
చేయుటకై	చేయురనై	చేయును	0.873044	0	0
సింహావలోకనం	సింహావలోకనం	సింహావలోకనం	0.967074	1	1
మూడవది	మూడవది	మూడవది	0.987295	1	1
స్వాతంత్ర్య	స్వాతంత్ర్య	స్వాతంత్ర్య	0.976519	1	1
ఒడలు	ఒడులు	ఒడలు	0.918561	0	1
బాగుండునని	బాగుండునని	బాగుండునని	0.982064	1	1
తిరిగి	తిరిగి	తిరిగి	0.944989	1	1
అటు	అటు	అటు	0.998885	1	1
పూలతోట	పూలతోట	పూలతోట	0.992826	1	1
చెప్పాలట	చెప్పాలట	చెప్పాలట	0.985303	1	1
టనే	టనే	టనే	0.992070	1	1
రాంబాబు	రాంబాబు	రాంబాబు	0.993414	1	1
