GT	Pred	Corrected	Prob	WRR_Correct	Post_WRR_Correct
రెండిడైనలు,	రెండిడ్డైనలు.	రెండిడ్డైనలు.	0.9284	0	0
చిగురుటాకులు	చిగురుటాకులు	చిగురుటాకులు	0.9630	1	1
నిలబడిపోతుంది	నిలబడిపోతుంది	నిలబడిపోతుంది	0.9674	1	1
85	85	85	0.9992	1	1
రీతిని	రీతిని	రీతిని	0.9980	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.9994	1	1
తీరెడిది.	తీరెడిది.	తీరెడిది.	0.9889	1	1
వచ్చినప్పుడు	వచ్చినప్పుడు	వచ్చినప్పుడు	0.9628	1	1
ఆ	ఆ	ఆ	0.9989	1	1
ఆవుల్ని	ఆవుల్ని	ఆవుల్ని	0.9863	1	1
మంది	మంది	మంది	0.9996	1	1
ఇదిగో	ఇదిగో	ఇదిగో	0.9139	1	1
కంఠధ్వనులు	కంఠధ్వనులు	కంఠధ్వనులు	0.9978	1	1
ఇది	ఇది	ఇది	0.9997	1	1
రచించాడు.	రచించాడు.	రచించాడు.	0.9985	1	1
రన	రన	రన	0.9957	1	1
కస	కన	కన	0.8557	0	0
భాసించి	భాసించి	భాసించి	0.9984	1	1
లోక ప్రక్కకు	లొకప్రక్కకు	లొకప్రక్కకు	0.9953	0	0
నబాబు	నబాబు	నబాబు	0.9974	1	1
యిచ్చాడు.	యిచ్చాడు.	యిచ్చాడు.	0.9794	1	1
యిట్టవే	యిటివే	యిటివే	0.9536	0	0
అలవడ	అలవడ	అలవడ	0.9962	1	1
ఉపాధ్యాయులు,	ఉవాధ్యాయులు,	ఉవాధ్యాయులు,	0.9750	0	0
చెయ్యిగట్టిగా	చెయ్యిగట్టిగా	చెయ్యిగట్టిగా	0.9993	1	1
గుఱ్ఱమును,	గ్ముర్మును,	గ్ముర్మును,	0.9032	0	0
దూడను	దూడును	దూడును	0.9896	0	0
వపుషే''	వపుషే"	వపుషే"	0.9421	0	0
గంట,	గంట,	గంట,	0.9966	1	1
కోనలోని	కోనలోని	కోనలోని	0.9440	1	1
లోపములమాట	లోపములమాట	లోపములమాట	0.9988	1	1
తల్లీ	తల్లీ!	తల్లీ!	0.9878	0	0
నుండును.	నుండును.	నుండును.	0.9976	1	1
సామ్రాజ్యంలో	సామ్రాజ్యంలో	సామ్రాజ్యంలో	0.9895	1	1
ఒక	ఒక	ఒక	0.9997	1	1
ఐశ్వ	ఐశ్వ	ఐశ్వ	0.9971	1	1
అది	అది	అది	0.9996	1	1
సెను.	సెను.	సెను.	0.9957	1	1
చక్క	చక్క	చక్క	0.9995	1	1
చంద్ర	చందర	చంద్ర	0.7958	0	1
మురళీకృష్ణని	మురళీకృష్ణని	మురళీకృష్ణని	0.9970	1	1
అన్నీ	అన్నీ	అన్నీ	0.9990	1	1
హుకుమువలస	హుకుమువలన	హుకుమువలన	0.9025	0	0
నూటికినూరు	నూటికినూరు	నూటికినూరు	0.9771	1	1
సమాధి	సమాధి	సమాధి	0.9997	1	1
ఆర్మీనియ	ఆర్మీనియ్	ఆర్మీనియ్	0.9266	0	0
నేఁడు	నేఁడు	నేఁడు	0.9762	1	1
పోవునట్లు	పోవునట్లు	పోవునట్లు	0.9947	1	1
గతి	గతి	గతి	0.8799	1	1
డయ్యెను.	డయ్యెను.	డయ్యెను.	0.9924	1	1
సన్యాసాన్ని	సన్యాసాన్ని	సన్యాసాన్ని	0.9992	1	1
వాసంతాలు	వాసంతాలు	వాసంతాలు	0.9998	1	1
[కొయ్యబారి	(కొయ్యబారి	(కొయ్యబారి	0.9450	0	0
నిలిచెను.	నిలిచెను.	నిలిచెను.	0.9793	1	1
మండలిలోనివారే	మండలిలోనివారే,	మండలిలోనివారే,	0.9423	0	0
ఎక్కడా	ఎక్కడా	ఎక్కడా	0.9545	1	1
సంగతినికూడ	సంగతినికూడ	సంగతినికూడ	0.9939	1	1
అన్నకొఱకు	అన్నకొఱకు	అన్నకొఱకు	0.9999	1	1
మిగుల్తాయి.	మిగుల్తాయి.	మిగుల్తాయి.	0.9646	1	1
చిరుతలు	చిరుతలు	చిరుతలు	0.9980	1	1
మీకు	మీకు	మీకు	0.9996	1	1
వచ్చుచున్న	వచ్చుచున్న	వచ్చుచున్న	0.9844	1	1
20	20	20	0.9999	1	1
ఢిల్లీ	డల్ీ,	డల్ీ,	0.7511	0	0
అంటే	అంటే	అంటే	0.9991	1	1
చిన్నరి	చిన్నరి	చిన్నరి	0.9587	1	1
ఆతని	ఆతని	ఆతని	0.9970	1	1
లేనియెడల,	లేనియెడల,	లేనియెడల,	0.9970	1	1
నంజు,	నంజు,	నంజు,	0.9497	1	1
గారు	కారు	కారు	0.8361	0	0
కాల	కాల	కాల	0.9991	1	1
చెబుతున్నారు.	చెబుతున్నారు.	చెబుతున్నారు.	0.9994	1	1
యోగమిత్రి	యోగమిత్ర	యోగమిత్ర	0.9575	0	0
నమ్మకుండుటయే	నమ్మకుండుటయే	నమ్మకుండుటయే	0.9823	1	1
లోని	లోని	లోని	0.9820	1	1
చెమ్చాతో	చెమ్చాతో	చెమ్చాతో	0.9974	1	1
చూపినటువంటివారు.	చూపినటుచంటివారు.	చూపినటుచంటివారు.	0.9988	0	0
వారిని	వారిని	వారిని	0.9995	1	1
నవకింకిణీ	నవకింకిణీ	నవకింకిణీ	0.9975	1	1
రాంబాబు!	రాంబాబు!	రాంబాబు!	0.9958	1	1
ప్రథమ	ప్రథమ	ప్రథమ	0.9959	1	1
కుంపింవారు	కుంటిఁు.వాడు	కుంటిఁు.వాడు	0.8094	0	0
రాజ్యము	రాజ్యము	రాజ్యము	0.9999	1	1
నున్న	నున్న	నున్న	0.8933	1	1
పెరుగు;	వెరుగు;	వెరుగు;	0.9710	0	0
ఆ	ఆ	ఆ	0.9977	1	1
ఓడలని	ఓడలని	ఓడలని	0.9994	1	1
వ్రాసి	వా?సి	వా?సి	0.8986	0	0
మన్నింపనపుడు	మన్నింపనపుడు	మన్నింపనపుడు	0.9804	1	1
ఆ	ఆ	ఆ	0.9989	1	1
జాగ్రతగ	జాగతగ	జాగతగ	0.9821	0	0
వుండాలి"	వుండాలి"	వుండాలి"	0.9630	1	1
కొత్తుకొని	కొత్తుకొని	కొత్తుకొని	0.9668	1	1
రోజులలో	కోజులలో	కోజులలో	0.9851	0	0
ఏళ్ళు	ఏళ్ళు	ఏళ్ళు	0.9362	1	1
12	12	12	0.7556	1	1
సుబేదారు	సుబేదారు	సుబేదారు	0.9875	1	1
యోగము	యోగము	యోగము	0.9999	1	1
గోదాదేవి.	గోదాదేవి.	గోదాదేవి.	0.9987	1	1
పెద్దనగారు	పెద్దనగారు	పెద్దనగారు	0.9851	1	1
హోయసల	హోయసల	హోయసల	0.9993	1	1
దానికితోడు	దానికితోడు	దానికితోడు	0.9870	1	1
దేహాత్మలుగా	దేహాత్మలుగా	దేహాత్మలుగా	0.9555	1	1
ఎగిరిపోతాయి.	ఎగిరిపోతాయి.	ఎగిరిపోతాయి.	0.9745	1	1
ఊరికే	ఊరికే	ఊరికే	0.9992	1	1
నీరేలనే	నీరేలనే-	నీరేలనే-	0.9718	0	0
జాగ్రత్తగ	జాగత్తగనే	జాగత్తగనే	0.9943	0	0
ఎక్కడికి	ఎక్కడికి	ఎక్కడికి	0.9684	1	1
ఏముంది?	ఏముంది?	ఏముంది?	0.9826	1	1
ఇక్కడినుంచి	ఇక్కడినుంచి	ఇక్కడినుంచి	0.9843	1	1
కొన్ని	కొన్ని	కొన్ని	0.9999	1	1
వపుషే	వపుషే	వపుషే	0.9814	1	1
దర్శించునపుడు	దశ్శించునపుడు	దశ్శించునపుడు	0.9670	0	0
శ్రీ	శ్రీ	శ్రీ	0.9035	1	1
క్షకారాంత	క్షకారాంత	క్షకారాంత	0.9956	1	1
గోచరించినచో	గోచరించినచో	గోచరించినచో	0.9998	1	1
యానందము!	యానందము!	యానందము!	0.9995	1	1
ఈ	ఈ	ఈ	0.9999	1	1
వెనుక	వెనుక	వెనుక	0.9919	1	1
ఉచ్ఛ్వాస	ఉచ్ఛావాస	ఉచ్ఛ్వాస	0.8502	0	1
వచ్చిన	వచ్చిన	వచ్చిన	0.9995	1	1
భక్తివిశ్వాసములకు	భక్తివిశ్వాసములకు	భక్తివిశ్వాసములకు	0.9830	1	1
ఎట్టి	ఎట్టి	ఎట్టి	0.9604	1	1
దేశంలో	దేశంలో	దేశంలో	0.9857	1	1
జరుగక	జరుగక	జరుగక	0.9893	1	1
వారి	వారి	వారి	0.9575	1	1
లేకుండా	లేకుండా	లేకుండా	0.9996	1	1
లాగికొనినపుడుగాని,	లాగికొనినపుడుగాని,	లాగికొనినపుడుగాని,	0.9736	1	1
చెప్పటం	చెప్పటం	చెప్పటం	0.9997	1	1
సరే,	సరే,	సరే,	0.9984	1	1
రూపములేని	రూపములేని	రూపములేని	0.9563	1	1
అట్టి	అట్టి	అట్టి	0.9995	1	1
నీ	నీ	నీ	0.9991	1	1
శరీరమంతా	శరీరమంతా	శరీరమంతా	0.9694	1	1
అంటారు.	అంటారు.	అంటారు.	0.9981	1	1
వెయ్యమన్నాడు.	వెయ్యమన్నాడు.	వెయ్యమన్నాడు.	0.9994	1	1
కాలమునందు	కాలమునందు	కాలమునందు	0.9563	1	1
గోమాతవలె	గోమాతవలె	గోమాతవలె	0.9964	1	1
స్పర్థలు	సప్పిలు	సప్పిలు	0.7906	0	0
వడగళ్లను	వడగళ్లను	వడగళ్లను	0.9994	1	1
వాళ్లు	వాళ్లు	వాళ్లు	0.9694	1	1
స్థానమందుండిన	స్థానమందుండిన	స్థానమందుండిన	0.9316	1	1
విద్యారణ్య	విద్యారణ్య	విద్యారణ్య	0.9984	1	1
సంగ్రహం,	సంగ్రహం,	సంగ్రహం,	0.9574	1	1
పిలుపు	పిలుపు	పిలుపు	0.9481	1	1
యీ సుగుణము లే	యీసుగుణములే	యీసుగుణములే	0.9966	0	0
శ్వాస	శ్వాస	శ్వాస	0.9332	1	1
వివరణ	వివరణ	వివరణ	0.9949	1	1
అన్నా	అన్నా	అన్నా	0.9988	1	1
పాపాయికెవ్వుమంది	పాపాయికెవ్వుమంది	పాపాయికెవ్వుమంది	0.9985	1	1
'అర్థమాత్ర	'అర్థమాత్ర	'అర్థమాత్ర	0.9772	1	1
వెళ్ళారు?	వెళ్ళారు?	వెళ్ళారు?	0.9711	1	1
చేసాం.	చేసాం.	చేసాం.	0.9973	1	1
కయ్యమునకు	కయ్యమునకు	కయ్యమునకు	0.9678	1	1
జగదాచార్యులు.	జగదాచార్యులు.	జగదాచార్యులు.	0.9870	1	1
పారిజాతాపహరణంలో	పారిజాతాపహరణంలో	పారిజాతాపహరణంలో	0.9990	1	1
1749	1749	1749	0.9922	1	1
యిం	యిం	యిం	0.9890	1	1
లెమ్మని	లెమ్మని	లెమ్మని	0.9988	1	1
అంటూ	అంటూ	అంటూ	0.9989	1	1
ఝణాఝణాఝ	ఝుణాఝణాఝు	ఝుణాఝణాఝు	0.8931	0	0
యారోగ్యమునకై	యారోగ్యమునకై	యారోగ్యమునకై	0.9633	1	1
తెలిసికొని	తెలిసికొని	తెలిసికొని	0.9916	1	1
ధారణ,	ధారణ,	ధారణ,	0.9985	1	1
కాని.	కాని,	కాని,	0.9518	0	0
సోకు,	సోకు,	సోకు,	0.9982	1	1
.... పో !	...పో:	...పో:	0.8231	0	0
అంటే	అంటే	అంటే	0.9992	1	1
ఈ	ఈ	ఈ	0.9992	1	1
ఆమెకు	ఆమెకు	ఆమెకు	0.9549	1	1
ఓ	ఓ	ఓ	0.9998	1	1
యివ	యివ::	యివ::	0.8930	0	0
చేసాం.	చేసాం.	చేసాం.	0.9954	1	1
దగ్గరికి	దగ్గరికి	దగ్గరికి	0.9996	1	1
వెలిగి	వెలిగి	వెలిగి	0.9977	1	1
నచట	నచట	నచట	0.9985	1	1
ఉంటుంది.	ఉంటుంది.	ఉంటుంది.	0.9993	1	1
అని	అని	అని	0.9994	1	1
అంటే	అంటే	అంటే	0.9243	1	1
ఫిర్యాదు	ఫీర్యాదు	ఫీర్యాదు	0.9883	0	0
చూస్తే	చూస్తే	చూస్తే	0.9987	1	1
సార్వభౌమపదవియం	నార్వభౌమపడవియ	నార్వభౌమపడవియ	0.9592	0	0
ఎక్కువ.	ఎక్కువ.	ఎక్కువ.	0.9665	1	1
సుజా	నుజా	నిజా	0.8143	0	0
చూడండి.	చూడండి.	చూడండి.	0.9993	1	1
మాత్రం	మాత్రం	మాత్రం	0.9692	1	1
యిచ్చాడు.	యిచ్చాడు.	యిచ్చాడు.	0.9981	1	1
నీఅన్నా	నీఅన్నా!	నీఅన్నా!	0.9184	0	0
ధ్యానం	ధ్యానం	ధ్యానం	0.9994	1	1
తన	తన	తన	0.9991	1	1
నధికార గర్జనతో	నధికారగర్జనతో	నధికారగర్జనతో	0.9527	0	0
రాత్రిభోజనములో	రాత్రిభోజనములో	రాత్రిభోజనములో	0.9961	1	1
ఉంది	ఉంది	ఉంది	0.9997	1	1
తరువాత	తరువాత	తరువాత	0.9982	1	1
తలంపుతో	తలంపుతో	తలంపుతో	0.9987	1	1
ఆకారాలు	ఆకారాలు	ఆకారాలు	0.9746	1	1
మన	మన	మన	0.9986	1	1
నువ్వు	నువ్వు	నువ్వు	0.9994	1	1
శుభ్రంగా	శుభ్రంగా	శుభ్రంగా	0.9775	1	1
మళ్ళా	మళ్ళా	మళ్ళా	0.9989	1	1
అన్నా	అన్నా	అన్నా	0.9999	1	1
ధనమునకు	ధనమునకు	ధనమునకు	0.9982	1	1
ఆ	ఆ	ఆ	0.9996	1	1
చేరినవి.	చేరినవి.	చేరినవి.	0.9351	1	1
యింగ్లీషు	యింగ్లీషు	యింగ్లీషు	0.9048	1	1
నువ్వు	నువ్వు	నువ్వు	0.9993	1	1
సుబే	సుబే	సుబే	0.9796	1	1
లాయర్లు,	లాయర్లు,	లాయర్లు,	0.9990	1	1
పట్టుకుంది.	పట్టుకుంది.	పట్టుకుంది.	0.9610	1	1
మాట్లాడుతున్నారు	మాట్లాడుతున్నారు	మాట్లాడుతున్నారు	0.9977	1	1
మధ్యన	మధ్యన	మధ్యన	0.9988	1	1
యెదురులేని	యెదురులేని	యెదురులేని	0.9629	1	1
అధ్యాయం	అధ్యాయం	అధ్యాయం	0.9990	1	1
''పలు	"పలు	"పలు	0.9983	0	0
చుట్టల	చుట్టల	చుట్టల	0.9931	1	1
కుంపిణీ	కుంపిఁశీ	కుంపిఁశీ	0.7760	0	0
మళ్ళీ	మళ్ళీ	మళ్ళీ	0.9967	1	1
అన్నట్లుగా	అన్నట్లుగా	అన్నట్లుగా	0.9752	1	1
నిద్రలోని	నిద్రలోని	నిద్రలోని	0.9543	1	1
కాలము	కాలము	కాలము	0.9626	1	1
నువ్వు	నువ్వు	నువ్వు	0.9995	1	1
బూది	బూది	బూది	0.9812	1	1
యున్నారు.	యున్నారు.	యున్నారు.	0.9557	1	1
నివసిస్తావు.	నివసిస్తావు.	నివసిస్తావు.	0.9947	1	1
దర్శన	దర్శన	దర్శన	0.9916	1	1
చాల	చాల	చాల	0.9872	1	1
అట్లా	అట్లా	అట్లా	0.9982	1	1
నృత్యం	నృత్యం	నృత్యం	0.9225	1	1
ఝమ్ క	ఝష్క	ఝష్క	0.9925	0	0
వడగళ్లా	వడగళ్లా.	వడగళ్లా.	0.9239	0	0
వాడికి	వాడికి	వాడికి	0.9938	1	1
బాలునియవస్థ,	బాలునియవస్థ,	బాలునియవస్థ,	0.9932	1	1
ఇదం	ఇదం	ఇదం	0.9997	1	1
నే	నే	నే	0.9957	1	1
గారిని	గారిని	గారిని	0.9996	1	1
వారితో	వారితో	వారితో	0.9690	1	1
తయారు	తయారు	తయారు	0.9997	1	1
లభింపలేదు.	లభింపలేదు.	లభింపలేదు.	0.9865	1	1
యిక్కడ	యిక్కడ	యిక్కడ	0.9999	1	1
రోదిస్తున్నది.	రోదిస్తున్నది.	రోదిస్తున్నది.	0.9980	1	1
తన	తిన	తిన	0.9106	0	0
ఆ	ఆ	ఆ	0.9955	1	1
వస్తువు	వస్తువు	వస్తువు	0.9996	1	1
లతని	లతని	లతని	0.9924	1	1
తీరుగుతున్నారు.	తీరుగుతున్నారు.	తీరుగుతున్నారు.	0.9443	1	1
కట్టుకుంటే	కట్టుకుంటే	కట్టుకుంటే	0.9892	1	1
వలదని	వలదని	వలదని	0.9994	1	1
శ్రీ	శ్ర్రీ	శ్రీ	0.8276	0	1
వారికి	వారికి	వారికి	0.9992	1	1
అన్న	అన్న	అన్న	0.9979	1	1
దేహుడుంటాడు.	దేహుడుంటాడు.	దేహుడుంటాడు.	0.9787	1	1
అప్పటి	అప్పటి	అప్పటి	0.9993	1	1
అది	అది	అది	0.9996	1	1
లాడుకొనిరి.	లాడుకొనిరి.	లాడుకొనిరి.	0.9967	1	1
వా	వా	వా	0.9971	1	1
రాడమ్మా	రాడమ్మా	రాడమ్మా	0.9995	1	1
యనుగ్రహమే	యనుగ్రహమే	యనుగ్రహమే	0.9989	1	1
కుంపిణీవారు	కుంపిణీవారు	కుంపిణీవారు	0.9917	1	1
లేదు	లేదు	లేదు	0.9960	1	1
ఫ్రెంచివారికిని	ఫెంచివారికిని	ఫెంచివారికిని	0.9894	0	0
సుబేదారుగ	సుబేదారుగ	సుబేదారుగ	0.9975	1	1
మా	మా	మా	0.9372	1	1
పాటపాడు-	పాటపాడు-	పాటపాడు-	0.9951	1	1
41	41	41	0.9923	1	1
వ్రేళ్ళ	వ్రేళ్ళ	వ్రేళ్ళ	0.9373	1	1
నజరులను	నజరులను	నజరులను	0.9995	1	1
వున్నాం	వున్నాం	వున్నాం	0.9991	1	1
తలపాగలు	తలపాగలు	తలపాగలు	0.9995	1	1
నాకు	నాకు	నాకు	0.9592	1	1
ఐదుగురు	ఐదుగురు	ఐదుగురు	0.9478	1	1
విష్ణుచిత్తుడు	విష్ణుచిత్తుడు	విష్ణుచిత్తుడు	0.9964	1	1
చెప్పినట్లు	చెప్పినట్లు	చెప్పినట్లు	0.9804	1	1
వానిపై	వానిపై	వానిపై	0.9991	1	1
మువ్వురిలోను	మువ్వురిలోను	మువ్వురిలోను	0.9449	1	1
విద్యారణ్య	విద్యారణ్య	విద్యారణ్య	0.9765	1	1
చూస్తున్నారిపుడు.	చూస్తున్నారిపుడు.	చూస్తున్నారిపుడు.	0.9773	1	1
వచ్చింది.	వచ్చింది.	వచ్చింది.	0.9618	1	1
రచించి,	రచించి,	రచించి,	0.9911	1	1
లగు	లగు	లగు	0.9975	1	1
పోనీయ్	పోనీయ్	పోనీయ్	0.9994	1	1
లేకపోతే	లేకపోతే	లేకపోతే	0.9996	1	1
అం	అం	అం	0.9978	1	1
చేయగా	చేయగా	చేయగా	0.9960	1	1
గజ్జెలు	గజ్జెలు	గజ్జెలు	0.9981	1	1
సీసపద్యం.	సీసపద్యం.	సీసపద్యం.	0.9985	1	1
మనస్సునకు	మనస్సునకు	మనస్సునకు	0.9563	1	1
శరీరంలో	శరీరంలో	శరీరంలో	0.9188	1	1
గుస	గన	గన	0.9881	0	0
ముచ్చటలే	ముచ్చుటలే	ముచ్చుటలే	0.9557	0	0
నిరాటంకముగ	నిరాటంకమగ	నిరాటంకమగ	0.9991	0	0
ఈ	ఈ	ఈ	0.9988	1	1
అని	అని	అని	0.9992	1	1
ధ్యానంలో	ధ్యానంలో.	ధ్యానంలో.	0.9967	0	0
ఆతడు	ఆతడు	ఆతడు	0.9588	1	1
మాష్టరుగారి	మాట్టరుగారి	మాట్టరుగారి	0.9489	0	0
ధ్యానమే),	ధ్యానమే),	ధ్యానమే),	0.9808	1	1
''ఎట్టి	"ఎట్టి	"ఎట్టి	0.9758	0	0
మన	మన	మన	0.9995	1	1
అయితే	అయితే	అయితే	0.9997	1	1
అలాగే	అలాగే	అలాగే	0.9993	1	1
ఒంటినిండా	ఒంటినిండా	ఒంటినిండా	0.9771	1	1
పింగళి	పింగళి	పింగళి	0.9878	1	1
మాత్రము	మాత్రము	మాత్రము	0.9854	1	1
స్థితి.	స్థితి.	స్థితి.	0.9987	1	1
విజయము	విజయము	విజయము	0.9981	1	1
అయినాసరే	అయినాసరే	అయినాసరే	0.9998	1	1
ఒక్కొక్క	ఒక్కొక్క	ఒక్కొక్క	0.9951	1	1
పిక్కలు,	పిక్కలు,	పిక్కలు,	0.9992	1	1
చదువుకోవాలో	చదువుకోవాలో,	చదువుకోవాలో,	0.9783	0	0
లేనటువంటి	లేనటువంటి	లేనటువంటి	0.9496	1	1
లతకేసి	లతకేసి	లతకేసి	0.9363	1	1
తన	తన	తన	0.9989	1	1
యీయనిచో	యీయనిచో	యీయనిచో	0.9956	1	1
రము	రము	రము	0.9984	1	1
హిమాలయాల్లో	హిమాలయాల్లో	హిమాలయాల్లో	0.9996	1	1
పరుచుననిగ	పరుచునవిగ	పరుచునవిగ	0.9681	0	0
తిరుగ	తిరుగ	తిరుగ	0.9983	1	1
వృద్ధిపొందడానికి	వృద్ధిపొందడానికి	వృద్ధిపొందడానికి	0.9840	1	1
వారిందుల	వారిందుల	వారిందుల	0.9729	1	1
విశ్వవిద్యాలయములో	విశ్వవిద్యాలయములో	విశ్వవిద్యాలయములో	0.9679	1	1
ఇంకా	ఇంకా	ఇంకా	0.9075	1	1
ఎంత	ఎంత	ఎంత	0.9998	1	1
లక్షల	లక్షల	లక్షల	0.9840	1	1
నీ	నీ	నీ	0.9562	1	1
యెంచి,	యెచి,	యెచి,	0.9818	0	0
వైదిక	వైదిక	వైదిక	0.9993	1	1
అంటుంటే	అంటుంటే	అంటుంటే	0.9976	1	1
43	43	43	0.8613	1	1
నెత్తుకొనఁ	నెత్తుకొనఁ	నెత్తుకొనఁ	0.9719	1	1
మహత్యం	మహత్యం	మహత్యం	0.9999	1	1
కాళ్లబేరమునకు	కాశ్లబేరమునకు	కాశ్లబేరమునకు	0.9440	0	0
సీతకోకచిలుక	సీతకోకచిలుక	సీతకోకచిలుక	0.9983	1	1
ఉత్తమోత్తమమైన	ఉత్తమోత్తమమైన	ఉత్తమోత్తమమైన	0.9996	1	1
గురను	గురను	గురను	0.9997	1	1
నశించి,	నశించి,	నశించి,	0.9987	1	1
ఉంటుందో	ఉంటుందో	ఉంటుందో	0.9802	1	1
దగ్గరగా	దగ్గరగా	దగ్గరగా	0.9939	1	1
యోగ	యోగ	యోగ	0.9999	1	1
మంచి	మంచి	మంచి	0.9997	1	1
వచ్చి	వచ్చి	వచ్చి	0.9991	1	1
వెనుకటి	వెనుకటి	వెనుకటి	0.9947	1	1
సంగీకరించెను.	నంగీకరించెను.	నంగీకరించెను.	0.9483	0	0
పైన	పైన	పైన	0.9990	1	1
చాలా	చాలా	చాలా	0.9934	1	1
హా( ....	హాఁ..	హాఁ..	0.8125	0	0
బంగారు	బంగారు	బంగారు	0.9668	1	1
మాత్రమే	మాత్రమే	మాత్రమే	0.9499	1	1
నున్న	నున్న	నున్న	0.9997	1	1
పైలేరియా	పైలేరియా	పైలేరియా	0.9995	1	1
గాని,	గాని,	గాని,	0.9896	1	1
గలి	గలి	గలి	0.9989	1	1
కొండె	కొండె	కొండె	0.9966	1	1
''పార్టీ	"పార్టీ	"పార్టీ	0.9780	0	0
తర్వాత	తర్వాత	తర్వాత	0.9971	1	1
ప్రసంగవశమున	ప్రనంగవశమున	ప్రనంగవశమున	0.9636	0	0
బాలుని	బాలుని	బాలుని	0.9908	1	1
స్వదేశ	స్వదేశ,	స్వదేశ,	0.9570	0	0
వేదాంత	వేదాంత	వేదాంత	0.9752	1	1
కాకపోయినను	కాకపోంునను	కాకపోంునను	0.9596	0	0
అన్నా:''	అన్నా!"	అన్నా!"	0.9843	0	0
తల్లీ	తల్లీ:	తల్లీ:	0.9176	0	0
మనం	మనం	మనం	0.9993	1	1
వాని	వాని	వాని	0.9992	1	1
ఆఘమేఘాల్లో	ఆఘమేఘాల్లో	ఆఘమేఘాల్లో	0.9783	1	1
అనే	అనే	అనే	0.9993	1	1
గుబగుబ	గుబగుబ	గుబగుబ	0.9537	1	1
చీలమండలు	చీలమండలు	చీలమండలు	0.9915	1	1
ఫ్రెంచివారు	ఫెంచివారు	ఫెంచివారు	0.9594	0	0
శరీరంగా	శరీరంగా	శరీరంగా	0.9998	1	1
ఆపిల్	ఆపిల్	ఆపిల్	0.9982	1	1
వాడు	వాడు	వాడు	0.9895	1	1
